SongId, WorkerId, Arousal_Average, Valence_Average, Arousal_Maximum, Valence_Maximum, Arousal_Minimum, Valence_Minimum
2001,523edc3414996c8e52eb14f20c93fe96,7,3,8,7,2,2
2001,ae0b751438f08bb474e5cd3e48e0d417,5,3,9,3,3,2
2001,fd4cc3ae7434a18286204f133b490502,7,3,8,5,4,2
2001,58af5138dd2f00af1f52d2c2c031f4a2,7,2,9,4,5,1
2001,3c960e4e5a02213fc82b98b770a0663c,7,5,9,6,3,4
2002,ae0b751438f08bb474e5cd3e48e0d417,6,7,8,9,2,6
2002,58af5138dd2f00af1f52d2c2c031f4a2,5,6,8,9,1,3
2002,fd4cc3ae7434a18286204f133b490502,6,7,9,9,3,6
2002,523edc3414996c8e52eb14f20c93fe96,3,6,5,7,1,5
2002,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,4,5
2003,ae0b751438f08bb474e5cd3e48e0d417,3,6,4,7,1,4
2003,58af5138dd2f00af1f52d2c2c031f4a2,7,4,9,6,1,2
2003,523edc3414996c8e52eb14f20c93fe96,2,5,4,8,1,3
2003,fd4cc3ae7434a18286204f133b490502,5,4,6,6,2,3
2003,b8bc7171b9ff0de8aaed0bf210fb711c,6,8,8,9,2,5
2004,58af5138dd2f00af1f52d2c2c031f4a2,6,3,8,5,3,1
2004,ae0b751438f08bb474e5cd3e48e0d417,4,5,5,6,3,4
2004,fd4cc3ae7434a18286204f133b490502,6,6,8,8,3,4
2004,523edc3414996c8e52eb14f20c93fe96,2,6,2,6,1,4
2004,949fcd0caf9d4b51a280acfbcd5e8e80,6,5,7,7,4,3
2005,fd4cc3ae7434a18286204f133b490502,6,4,9,5,1,1
2005,523edc3414996c8e52eb14f20c93fe96,5,3,9,5,1,1
2005,ae0b751438f08bb474e5cd3e48e0d417,4,3,7,4,2,2
2005,58af5138dd2f00af1f52d2c2c031f4a2,5,3,9,4,2,1
2005,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,8,7,4,3
2006,ae0b751438f08bb474e5cd3e48e0d417,3,4,4,5,1,2
2006,fd4cc3ae7434a18286204f133b490502,4,6,6,7,3,4
2006,523edc3414996c8e52eb14f20c93fe96,2,6,3,7,2,4
2006,58af5138dd2f00af1f52d2c2c031f4a2,5,4,6,5,2,2
2006,3c960e4e5a02213fc82b98b770a0663c,2,5,3,5,2,5
2007,523edc3414996c8e52eb14f20c93fe96,3,4,5,5,1,4
2007,58af5138dd2f00af1f52d2c2c031f4a2,4,3,7,6,2,2
2007,ae0b751438f08bb474e5cd3e48e0d417,3,3,4,3,3,2
2007,fd4cc3ae7434a18286204f133b490502,6,4,7,5,4,2
2007,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,8,6,2,2
2008,523edc3414996c8e52eb14f20c93fe96,1,4,2,6,1,4
2008,58af5138dd2f00af1f52d2c2c031f4a2,3,7,5,7,2,6
2008,ae0b751438f08bb474e5cd3e48e0d417,3,6,3,6,3,6
2008,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,5
2008,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,5,4
2009,523edc3414996c8e52eb14f20c93fe96,1,4,2,5,1,3
2009,ae0b751438f08bb474e5cd3e48e0d417,3,6,4,7,2,5
2009,fd4cc3ae7434a18286204f133b490502,5,4,6,6,4,3
2009,58af5138dd2f00af1f52d2c2c031f4a2,6,6,8,8,4,4
2009,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,8,8,5,4
2010,58af5138dd2f00af1f52d2c2c031f4a2,6,5,8,7,4,3
2010,ae0b751438f08bb474e5cd3e48e0d417,3,7,4,7,3,7
2010,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,4
2010,523edc3414996c8e52eb14f20c93fe96,3,6,5,7,2,5
2010,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,9,8,6,6
2011,ae0b751438f08bb474e5cd3e48e0d417,4,3,7,4,2,2
2011,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,4
2011,523edc3414996c8e52eb14f20c93fe96,3,3,6,5,1,3
2011,58af5138dd2f00af1f52d2c2c031f4a2,7,7,8,9,2,3
2011,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,7,6,3,2
2012,58af5138dd2f00af1f52d2c2c031f4a2,5,2,9,5,1,1
2012,fd4cc3ae7434a18286204f133b490502,7,3,8,4,5,2
2012,ae0b751438f08bb474e5cd3e48e0d417,3,3,5,4,2,2
2012,523edc3414996c8e52eb14f20c93fe96,3,4,5,5,1,3
2012,949fcd0caf9d4b51a280acfbcd5e8e80,6,4,8,5,4,2
2012,b8bc7171b9ff0de8aaed0bf210fb711c,7,3,9,4,3,1
2013,58af5138dd2f00af1f52d2c2c031f4a2,6,5,9,8,1,2
2013,fd4cc3ae7434a18286204f133b490502,6,5,8,7,4,3
2013,ae0b751438f08bb474e5cd3e48e0d417,5,6,7,7,2,4
2013,523edc3414996c8e52eb14f20c93fe96,4,5,6,7,1,3
2013,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,7,5,4
2014,fd4cc3ae7434a18286204f133b490502,8,3,8,5,6,2
2014,523edc3414996c8e52eb14f20c93fe96,6,3,9,4,3,1
2014,ae0b751438f08bb474e5cd3e48e0d417,6,2,8,3,4,2
2014,949fcd0caf9d4b51a280acfbcd5e8e80,7,4,9,6,4,2
2014,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,8,4,4,2
2015,523edc3414996c8e52eb14f20c93fe96,4,6,5,7,3,5
2015,fd4cc3ae7434a18286204f133b490502,6,6,7,7,6,4
2015,ae0b751438f08bb474e5cd3e48e0d417,4,7,5,7,3,6
2015,58af5138dd2f00af1f52d2c2c031f4a2,7,8,8,9,5,4
2015,b8bc7171b9ff0de8aaed0bf210fb711c,6,6,7,7,4,4
2016,fd4cc3ae7434a18286204f133b490502,7,7,8,8,6,6
2016,ae0b751438f08bb474e5cd3e48e0d417,4,7,4,7,4,7
2016,58af5138dd2f00af1f52d2c2c031f4a2,8,7,9,8,5,6
2016,523edc3414996c8e52eb14f20c93fe96,2,7,3,8,1,6
2016,949fcd0caf9d4b51a280acfbcd5e8e80,7,8,8,9,6,7
2017,58af5138dd2f00af1f52d2c2c031f4a2,7,7,9,8,3,6
2017,ae0b751438f08bb474e5cd3e48e0d417,7,7,7,7,7,7
2017,fd4cc3ae7434a18286204f133b490502,7,6,8,7,6,6
2017,523edc3414996c8e52eb14f20c93fe96,5,7,6,7,3,6
2017,ae0b751438f08bb474e5cd3e48e0d417,6,7,7,8,5,6
2017,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,8,6,5
2018,ae0b751438f08bb474e5cd3e48e0d417,7,7,7,7,7,6
2018,58af5138dd2f00af1f52d2c2c031f4a2,7,6,9,8,5,4
2018,fd4cc3ae7434a18286204f133b490502,6,6,7,7,6,6
2018,523edc3414996c8e52eb14f20c93fe96,5,6,6,7,4,5
2018,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,8,8,6,7
2018,b8bc7171b9ff0de8aaed0bf210fb711c,6,7,8,7,6,7
2019,ae0b751438f08bb474e5cd3e48e0d417,7,7,7,7,7,7
2019,58af5138dd2f00af1f52d2c2c031f4a2,7,7,9,8,6,5
2019,523edc3414996c8e52eb14f20c93fe96,6,7,7,7,5,6
2019,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,5
2019,949fcd0caf9d4b51a280acfbcd5e8e80,8,7,8,7,6,5
2020,ae0b751438f08bb474e5cd3e48e0d417,6,7,6,7,4,7
2020,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,6
2020,523edc3414996c8e52eb14f20c93fe96,5,7,6,7,3,6
2020,58af5138dd2f00af1f52d2c2c031f4a2,6,7,7,8,5,6
2020,949fcd0caf9d4b51a280acfbcd5e8e80,6,7,7,8,5,6
2021,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,5
2021,523edc3414996c8e52eb14f20c93fe96,2,3,3,4,1,3
2021,58af5138dd2f00af1f52d2c2c031f4a2,6,3,7,6,3,2
2021,ae0b751438f08bb474e5cd3e48e0d417,2,3,3,4,1,2
2021,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,5,4
2022,fd4cc3ae7434a18286204f133b490502,6,5,6,6,4,4
2022,58af5138dd2f00af1f52d2c2c031f4a2,4,3,5,3,2,2
2022,ae0b751438f08bb474e5cd3e48e0d417,3,3,4,4,2,2
2022,523edc3414996c8e52eb14f20c93fe96,3,4,6,4,1,3
2022,949fcd0caf9d4b51a280acfbcd5e8e80,6,4,7,6,4,3
2023,58af5138dd2f00af1f52d2c2c031f4a2,3,5,7,6,3,3
2023,523edc3414996c8e52eb14f20c93fe96,1,4,2,5,1,4
2023,ae0b751438f08bb474e5cd3e48e0d417,3,6,5,6,2,6
2023,fd4cc3ae7434a18286204f133b490502,5,6,6,7,5,6
2023,b8bc7171b9ff0de8aaed0bf210fb711c,3,7,5,7,1,6
2024,fd4cc3ae7434a18286204f133b490502,5,5,5,6,5,5
2024,ae0b751438f08bb474e5cd3e48e0d417,3,7,3,7,3,7
2024,523edc3414996c8e52eb14f20c93fe96,1,6,2,6,1,5
2024,58af5138dd2f00af1f52d2c2c031f4a2,5,7,7,8,2,5
2024,949fcd0caf9d4b51a280acfbcd5e8e80,8,7,8,8,7,6
2025,58af5138dd2f00af1f52d2c2c031f4a2,8,8,9,9,5,6
2025,523edc3414996c8e52eb14f20c93fe96,2,4,3,6,1,2
2025,fd4cc3ae7434a18286204f133b490502,4,5,4,6,2,4
2025,ae0b751438f08bb474e5cd3e48e0d417,3,7,3,7,3,6
2025,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,8,5,5
2026,ae0b751438f08bb474e5cd3e48e0d417,3,6,3,6,3,6
2026,58af5138dd2f00af1f52d2c2c031f4a2,6,6,8,8,4,4
2026,fd4cc3ae7434a18286204f133b490502,4,5,5,6,3,4
2026,523edc3414996c8e52eb14f20c93fe96,1,4,3,6,1,3
2026,b8bc7171b9ff0de8aaed0bf210fb711c,6,7,8,8,3,5
2027,ae0b751438f08bb474e5cd3e48e0d417,5,4,6,4,4,3
2027,58af5138dd2f00af1f52d2c2c031f4a2,6,7,8,8,3,5
2027,523edc3414996c8e52eb14f20c93fe96,3,6,5,6,1,4
2027,fd4cc3ae7434a18286204f133b490502,6,6,7,7,5,5
2027,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,8,6,6
2028,523edc3414996c8e52eb14f20c93fe96,6,3,9,5,2,2
2028,ae0b751438f08bb474e5cd3e48e0d417,4,3,6,4,2,2
2028,fd4cc3ae7434a18286204f133b490502,7,4,8,5,4,3
2028,58af5138dd2f00af1f52d2c2c031f4a2,7,3,9,4,6,2
2028,949fcd0caf9d4b51a280acfbcd5e8e80,7,4,9,8,3,3
2029,58af5138dd2f00af1f52d2c2c031f4a2,5,3,7,6,4,2
2029,523edc3414996c8e52eb14f20c93fe96,2,4,3,5,1,3
2029,ae0b751438f08bb474e5cd3e48e0d417,4,4,5,4,3,3
2029,fd4cc3ae7434a18286204f133b490502,4,5,5,6,4,4
2029,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,8,6,5
2029,b8bc7171b9ff0de8aaed0bf210fb711c,3,3,4,4,2,3
2030,58af5138dd2f00af1f52d2c2c031f4a2,7,3,9,6,3,1
2030,ae0b751438f08bb474e5cd3e48e0d417,6,3,7,4,2,2
2030,523edc3414996c8e52eb14f20c93fe96,5,4,7,5,1,3
2030,fd4cc3ae7434a18286204f133b490502,7,4,8,6,4,2
2030,b8bc7171b9ff0de8aaed0bf210fb711c,6,7,8,8,2,5
2031,58af5138dd2f00af1f52d2c2c031f4a2,3,3,5,4,2,2
2031,ae0b751438f08bb474e5cd3e48e0d417,3,4,3,4,3,4
2031,523edc3414996c8e52eb14f20c93fe96,1,4,1,4,1,4
2031,fd4cc3ae7434a18286204f133b490502,6,6,6,6,6,6
2031,949fcd0caf9d4b51a280acfbcd5e8e80,4,6,5,6,3,5
2032,58af5138dd2f00af1f52d2c2c031f4a2,6,6,8,7,4,5
2032,fd4cc3ae7434a18286204f133b490502,4,5,5,6,4,4
2032,ae0b751438f08bb474e5cd3e48e0d417,4,5,5,5,2,4
2032,523edc3414996c8e52eb14f20c93fe96,2,4,4,5,1,4
2032,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,6,6,4,4
2033,ae0b751438f08bb474e5cd3e48e0d417,6,4,8,4,5,2
2033,fd4cc3ae7434a18286204f133b490502,7,3,8,4,6,2
2033,58af5138dd2f00af1f52d2c2c031f4a2,8,3,9,5,5,1
2033,523edc3414996c8e52eb14f20c93fe96,7,3,8,5,4,2
2033,949fcd0caf9d4b51a280acfbcd5e8e80,7,3,9,4,6,2
2033,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,8,6,3,2
2034,523edc3414996c8e52eb14f20c93fe96,2,4,3,5,1,3
2034,58af5138dd2f00af1f52d2c2c031f4a2,6,8,7,9,5,6
2034,fd4cc3ae7434a18286204f133b490502,6,6,6,6,5,5
2034,ae0b751438f08bb474e5cd3e48e0d417,3,6,3,6,3,6
2034,949fcd0caf9d4b51a280acfbcd5e8e80,6,7,7,7,5,6
2035,ae0b751438f08bb474e5cd3e48e0d417,5,2,7,2,3,2
2035,fd4cc3ae7434a18286204f133b490502,6,4,7,5,4,3
2035,523edc3414996c8e52eb14f20c93fe96,4,4,5,5,2,3
2035,949fcd0caf9d4b51a280acfbcd5e8e80,4,4,6,5,2,3
2035,b8bc7171b9ff0de8aaed0bf210fb711c,4,3,7,4,2,2
2036,fd4cc3ae7434a18286204f133b490502,6,4,7,4,5,3
2036,ae0b751438f08bb474e5cd3e48e0d417,2,6,2,6,2,6
2036,523edc3414996c8e52eb14f20c93fe96,4,3,5,5,3,2
2036,949fcd0caf9d4b51a280acfbcd5e8e80,6,3,7,4,5,2
2036,949fcd0caf9d4b51a280acfbcd5e8e80,7,4,8,5,6,3
2036,b8bc7171b9ff0de8aaed0bf210fb711c,3,3,4,4,3,2
2037,fd4cc3ae7434a18286204f133b490502,6,6,6,6,6,6
2037,ae0b751438f08bb474e5cd3e48e0d417,3,7,4,7,2,6
2037,523edc3414996c8e52eb14f20c93fe96,3,6,4,7,1,5
2037,949fcd0caf9d4b51a280acfbcd5e8e80,5,6,6,7,4,5
2037,b8bc7171b9ff0de8aaed0bf210fb711c,5,7,7,8,2,6
2038,523edc3414996c8e52eb14f20c93fe96,2,4,4,5,1,4
2038,ae0b751438f08bb474e5cd3e48e0d417,2,2,2,2,2,2
2038,fd4cc3ae7434a18286204f133b490502,6,6,7,6,5,5
2038,949fcd0caf9d4b51a280acfbcd5e8e80,4,5,5,6,3,4
2038,b8bc7171b9ff0de8aaed0bf210fb711c,5,3,6,4,4,2
2039,523edc3414996c8e52eb14f20c93fe96,3,6,5,7,1,4
2039,ae0b751438f08bb474e5cd3e48e0d417,3,6,5,6,2,5
2039,fd4cc3ae7434a18286204f133b490502,6,6,6,6,6,6
2039,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,7,7,5,5
2039,b8bc7171b9ff0de8aaed0bf210fb711c,4,3,6,4,2,2
2040,523edc3414996c8e52eb14f20c93fe96,7,2,8,4,5,1
2040,ae0b751438f08bb474e5cd3e48e0d417,6,4,7,4,4,3
2040,fd4cc3ae7434a18286204f133b490502,7,3,7,4,6,2
2040,58af5138dd2f00af1f52d2c2c031f4a2,8,2,9,4,6,1
2040,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,8,8,6,4
2041,fd4cc3ae7434a18286204f133b490502,5,6,6,6,4,6
2041,523edc3414996c8e52eb14f20c93fe96,2,3,3,4,1,3
2041,ae0b751438f08bb474e5cd3e48e0d417,2,3,2,3,2,3
2041,949fcd0caf9d4b51a280acfbcd5e8e80,3,7,5,8,2,6
2041,b8bc7171b9ff0de8aaed0bf210fb711c,3,3,5,4,2,2
2042,ae0b751438f08bb474e5cd3e48e0d417,3,5,3,5,3,5
2042,fd4cc3ae7434a18286204f133b490502,6,5,7,6,4,4
2042,523edc3414996c8e52eb14f20c93fe96,3,4,4,7,1,2
2042,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,7,7,3,3
2042,b8bc7171b9ff0de8aaed0bf210fb711c,5,4,7,6,2,2
2043,ae0b751438f08bb474e5cd3e48e0d417,4,4,6,4,2,4
2043,fd4cc3ae7434a18286204f133b490502,6,6,7,7,4,4
2043,523edc3414996c8e52eb14f20c93fe96,3,5,5,6,1,4
2043,949fcd0caf9d4b51a280acfbcd5e8e80,6,6,8,8,5,4
2043,b8bc7171b9ff0de8aaed0bf210fb711c,3,7,5,8,2,6
2044,fd4cc3ae7434a18286204f133b490502,6,6,6,6,6,5
2044,523edc3414996c8e52eb14f20c93fe96,4,6,5,7,3,5
2044,ae0b751438f08bb474e5cd3e48e0d417,3,7,4,7,3,6
2044,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,8,7,5,6
2044,b8bc7171b9ff0de8aaed0bf210fb711c,6,6,8,7,3,5
2045,ae0b751438f08bb474e5cd3e48e0d417,2,3,2,3,2,3
2045,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,5
2045,523edc3414996c8e52eb14f20c93fe96,2,4,3,4,1,3
2045,949fcd0caf9d4b51a280acfbcd5e8e80,4,6,6,6,3,5
2045,b8bc7171b9ff0de8aaed0bf210fb711c,3,6,4,7,2,5
2046,fd4cc3ae7434a18286204f133b490502,6,5,7,6,4,4
2046,ae0b751438f08bb474e5cd3e48e0d417,3,6,4,6,2,5
2046,523edc3414996c8e52eb14f20c93fe96,4,5,6,7,2,3
2046,b8bc7171b9ff0de8aaed0bf210fb711c,7,7,9,8,5,6
2046,949fcd0caf9d4b51a280acfbcd5e8e80,7,6,8,8,4,5
2046,b4cad77b1093f7d134c6c141af4dddad,4,4,6,6,2,3
2047,523edc3414996c8e52eb14f20c93fe96,3,6,5,7,1,5
2047,fd4cc3ae7434a18286204f133b490502,6,6,6,6,6,6
2047,ae0b751438f08bb474e5cd3e48e0d417,4,6,6,7,2,6
2047,949fcd0caf9d4b51a280acfbcd5e8e80,6,7,7,8,4,6
2047,b8bc7171b9ff0de8aaed0bf210fb711c,6,6,8,8,4,5
2048,523edc3414996c8e52eb14f20c93fe96,2,5,3,6,1,4
2048,ae0b751438f08bb474e5cd3e48e0d417,2,7,2,7,2,7
2048,fd4cc3ae7434a18286204f133b490502,6,6,6,6,6,6
2048,949fcd0caf9d4b51a280acfbcd5e8e80,4,6,5,6,3,4
2048,b8bc7171b9ff0de8aaed0bf210fb711c,4,7,5,8,2,4
2049,fd4cc3ae7434a18286204f133b490502,5,5,6,6,4,5
2049,523edc3414996c8e52eb14f20c93fe96,2,4,3,5,1,3
2049,ae0b751438f08bb474e5cd3e48e0d417,3,4,3,4,2,4
2049,b8bc7171b9ff0de8aaed0bf210fb711c,4,3,6,5,2,2
2049,949fcd0caf9d4b51a280acfbcd5e8e80,5,6,6,7,4,5
2050,ae0b751438f08bb474e5cd3e48e0d417,2,4,2,4,2,4
2050,523edc3414996c8e52eb14f20c93fe96,3,4,4,6,2,3
2050,fd4cc3ae7434a18286204f133b490502,5,4,6,5,4,3
2050,949fcd0caf9d4b51a280acfbcd5e8e80,4,6,5,6,3,5
2050,b8bc7171b9ff0de8aaed0bf210fb711c,4,4,5,4,3,3
2051,58af5138dd2f00af1f52d2c2c031f4a2,6,3,8,5,5,2
2051,523edc3414996c8e52eb14f20c93fe96,3,3,4,4,2,2
2051,fd4cc3ae7434a18286204f133b490502,5,4,6,5,5,4
2051,ae0b751438f08bb474e5cd3e48e0d417,3,3,3,3,3,3
2051,949fcd0caf9d4b51a280acfbcd5e8e80,6,3,7,4,5,2
2052,fd4cc3ae7434a18286204f133b490502,7,3,8,4,6,3
2052,523edc3414996c8e52eb14f20c93fe96,5,3,6,5,3,2
2052,ae0b751438f08bb474e5cd3e48e0d417,3,3,3,4,2,2
2052,949fcd0caf9d4b51a280acfbcd5e8e80,7,3,8,4,4,2
2052,b8bc7171b9ff0de8aaed0bf210fb711c,4,4,5,5,2,3
2053,523edc3414996c8e52eb14f20c93fe96,2,3,5,4,1,2
2053,ae0b751438f08bb474e5cd3e48e0d417,2,4,3,4,2,4
2053,fd4cc3ae7434a18286204f133b490502,6,4,7,4,4,3
2053,949fcd0caf9d4b51a280acfbcd5e8e80,6,4,7,5,4,3
2053,b8bc7171b9ff0de8aaed0bf210fb711c,3,4,4,5,2,4
2054,523edc3414996c8e52eb14f20c93fe96,3,6,4,7,2,4
2054,fd4cc3ae7434a18286204f133b490502,6,6,6,6,4,5
2054,ae0b751438f08bb474e5cd3e48e0d417,2,6,2,6,2,6
2054,949fcd0caf9d4b51a280acfbcd5e8e80,4,6,5,7,2,5
2054,b8bc7171b9ff0de8aaed0bf210fb711c,3,3,4,4,2,2
2055,ae0b751438f08bb474e5cd3e48e0d417,4,4,4,4,4,4
2055,523edc3414996c8e52eb14f20c93fe96,3,5,5,6,2,4
2055,fd4cc3ae7434a18286204f133b490502,6,6,7,7,5,5
2055,949fcd0caf9d4b51a280acfbcd5e8e80,7,7,8,8,6,6
2055,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,8,5,3,2
2056,523edc3414996c8e52eb14f20c93fe96,3,5,4,6,2,4
2056,fd4cc3ae7434a18286204f133b490502,6,4,6,5,5,3
2056,ae0b751438f08bb474e5cd3e48e0d417,2,6,2,6,2,6
2056,949fcd0caf9d4b51a280acfbcd5e8e80,6,7,7,8,5,6
2056,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,6,3,6,3
2057,523edc3414996c8e52eb14f20c93fe96,7,2,9,4,4,2
2057,ae0b751438f08bb474e5cd3e48e0d417,7,3,7,4,6,2
2057,58af5138dd2f00af1f52d2c2c031f4a2,7,2,9,4,5,1
2057,fd4cc3ae7434a18286204f133b490502,6,5,7,6,6,4
2057,949fcd0caf9d4b51a280acfbcd5e8e80,7,3,9,4,6,2
2057,b8bc7171b9ff0de8aaed0bf210fb711c,7,4,8,5,2,2
2058,fd4cc3ae7434a18286204f133b490502,5,4,7,5,4,3
2058,ae0b751438f08bb474e5cd3e48e0d417,5,4,7,4,3,3
2058,523edc3414996c8e52eb14f20c93fe96,5,5,7,6,3,4
2058,949fcd0caf9d4b51a280acfbcd5e8e80,8,3,9,4,6,2
2058,b8bc7171b9ff0de8aaed0bf210fb711c,6,3,7,4,3,2
